,Pokemon No.,Name,Type 1,appear_rate,l_evening,l_morn,l_night,population_density,appearance_convert,show_pattern
0,1,Bulbasaur,Grass,0.456,0.2531847133757962,0.2914012738853503,0.4554140127388535,1851.4,455.4,1
1,2,Ivysaur,Grass,0.03333333333333333,0.2790697674418605,0.3023255813953488,0.4186046511627907,1867.9,418.6,1
2,3,Venusaur,Grass,0.004,0.2,0.2,0.6,379.3,600.0,0
3,4,Charmander,Fire,0.246,0.29878048780487804,0.3780487804878049,0.3231707317073171,1852.4,37.8,1
4,5,Charmeleon,Fire,0.007666666666666667,0.1,0.3,0.6,1047.2,600.0,0
5,6,Charizard,Fire,0.0026666666666666666,0.5,0.5,0.0,1052.0,5.0,0
6,7,Squirtle,Water,0.4966666666666667,0.2833562585969739,0.3232462173314993,0.3933975240715269,1602.4,393.4,1
7,8,Wartortle,Water,0.033,0.3863636363636364,0.25,0.3636363636363637,1819.7,3.9,1
8,9,Blastoise,Water,0.006,0.25,0.25,0.5,2080.0,500.0,1
9,10,Caterpie,Bug,3.284666666666667,0.2713283989092325,0.31417997662641217,0.4144916244643553,1225.1,414.5,0
10,11,Metapod,Bug,0.19866666666666666,0.2715654952076677,0.3354632587859425,0.3929712460063898,1204.9,393.0,0
11,12,Butterfree,Bug,0.03166666666666666,0.3409090909090909,0.3181818181818182,0.3409090909090909,1516.0,3.4,0
12,13,Weedle,Bug,9.122333333333334,0.2966543260660908,0.31399972576443164,0.3893459481694776,1045.3,389.3,0
13,14,Kakuna,Bug,0.6023333333333334,0.2644281217208814,0.3431269674711437,0.3924449108079748,1043.9,392.4,0
14,15,Beedrill,Bug,0.06633333333333334,0.29464285714285715,0.36607142857142855,0.3392857142857143,976.6,36.6,0
15,16,Pidgey,Normal,17.371333333333332,0.2823533868767995,0.31504773450522805,0.4025988786179725,1141.2,402.6,0
16,17,Pidgeotto,Normal,1.0966666666666671,0.2875894988066825,0.3168257756563246,0.3955847255369929,1161.0,395.6,0
17,18,Pidgeot,Normal,0.14866666666666667,0.2895927601809955,0.3076923076923077,0.4027149321266969,1163.7,402.7,0
18,19,Rattata,Normal,13.212333333333332,0.3034368871916606,0.3139642894003509,0.3825988234079885,1136.8,382.6,0
19,20,Raticate,Normal,0.411,0.3024390243902439,0.3056910569105691,0.39186991869918697,1178.2,391.9,0
20,21,Spearow,Normal,4.112333333333333,0.2880625598467922,0.3100861793807852,0.4018512607724226,1375.6,401.9,0
21,22,Fearow,Normal,0.131,0.2549019607843137,0.2647058823529412,0.4803921568627451,1380.8,480.4,0
22,23,Ekans,Poison,1.3823333333333334,0.25168815224063845,0.2492326580724371,0.4990791896869245,1373.1,499.1,0
23,24,Arbok,Poison,0.048666666666666664,0.3148148148148148,0.1111111111111111,0.5740740740740741,1385.9,574.1,0
24,25,Pikachu,Electric,0.172,0.3271889400921659,0.271889400921659,0.4009216589861751,1206.1,400.9,0
25,26,Raichu,Electric,0.0033333333333333327,0.5,0.0,0.5,799.9,5.0,0
26,27,Sandshrew,Ground,0.675,0.2792297111416781,0.2310866574965612,0.4896836313617607,1431.9,489.7,0
27,28,Sandslash,Ground,0.018666666666666658,0.2916666666666667,0.25,0.4583333333333333,1618.8,458.3,1
28,29,Nidoran♀,Poison,1.2656666666666667,0.2853260869565217,0.29293478260869565,0.4217391304347826,1324.0,421.7,0
29,30,Nidorina,Poison,0.06833333333333333,0.3142857142857143,0.3238095238095238,0.3619047619047619,1294.5,361.9,0
30,31,Nidoqueen,Poison,0.005333333333333333,0.75,0.125,0.125,765.2,7.5,0
31,32,Nidoran♂,Poison,1.3633333333333335,0.261841405002661,0.3054816391697712,0.4326769558275679,1575.6,432.7,1
32,33,Nidorino,Poison,0.09066666666666666,0.24,0.384,0.376,1308.8,38.4,0
33,34,Nidoking,Poison,0.0056666666666666645,0.5,0.2,0.3,2028.2,5.0,1
34,35,Clefairy,Fairy,1.1883333333333332,0.22240709927897948,0.3355518580144204,0.4420410427066001,1400.8,442.0,0
35,36,Clefable,Fairy,0.021333333333333333,0.25,0.25,0.5,1560.4,500.0,0
36,37,Vulpix,Fire,0.18933333333333333,0.3247863247863248,0.2863247863247863,0.3888888888888889,1307.6,388.9,0
37,38,Ninetales,Fire,0.0026666666666666666,0.5,0.25,0.25,1043.7,5.0,0
38,39,Jigglypuff,Normal,0.37333333333333335,0.3065326633165829,0.2914572864321608,0.4020100502512563,1237.0,402.0,0
39,40,Wigglytuff,Normal,0.008333333333333333,0.3,0.4,0.3,1136.3,40.0,0
40,41,Zubat,Poison,3.381,0.24578000370988684,0.3409386013726581,0.413281394917455,1530.5,413.3,0
41,42,Golbat,Poison,0.345,0.2435897435897436,0.30036630036630035,0.456043956043956,1596.2,456.0,1
42,43,Oddish,Grass,1.2009999999999998,0.2774463007159905,0.3025059665871121,0.4200477326968974,1180.0,420.0,0
43,44,Gloom,Grass,0.07633333333333334,0.29411764705882354,0.30392156862745096,0.4019607843137255,1156.3,402.0,0
44,45,Vileplume,Grass,0.005333333333333333,0.16666666666666666,0.5,0.3333333333333333,399.5,50.0,0
45,46,Paras,Bug,2.403,0.2804878048780488,0.2714196372732958,0.4480925578486554,1089.2,448.1,0
46,47,Parasect,Bug,0.07566666666666666,0.27450980392156865,0.4215686274509804,0.30392156862745096,1106.1,42.2,0
47,48,Venonat,Bug,2.775,0.29348112958564265,0.3045658485088414,0.401953021905516,1001.8,402.0,0
48,49,Venomoth,Bug,0.08366666666666668,0.3307692307692308,0.2846153846153846,0.38461538461538464,936.6,384.6,0
49,50,Diglett,Ground,0.2403333333333333,0.3333333333333333,0.15942028985507245,0.5072463768115942,1435.1,507.2,0
50,51,Dugtrio,Ground,0.008333333333333333,0.4545454545454545,0.09090909090909093,0.4545454545454545,992.3,4.5,0
51,52,Meowth,Normal,0.5856666666666667,0.2725146198830409,0.30526315789473685,0.4222222222222222,1373.4,422.2,0
52,53,Persian,Normal,0.009666666666666669,0.20689655172413796,0.10344827586206896,0.6896551724137931,1274.4,689.7,0
53,54,Psyduck,Water,1.3166666666666669,0.3141780499293453,0.3132359868111164,0.3725859632595384,1760.2,372.6,1
54,55,Golduck,Water,0.04366666666666666,0.2531645569620253,0.3291139240506329,0.4177215189873418,1537.1,417.7,0
55,56,Mankey,Fighting,0.6373333333333333,0.26453488372093026,0.23401162790697674,0.501453488372093,1204.3,501.5,0
56,57,Primeape,Fighting,0.02,0.2631578947368421,0.2631578947368421,0.4736842105263158,1176.3,473.7,0
57,58,Growlithe,Fire,0.5833333333333334,0.2870662460567823,0.1813880126182965,0.5315457413249212,1364.2,531.5,0
58,59,Arcanine,Fire,0.010666666666666666,0.2727272727272727,0.09090909090909093,0.6363636363636364,1296.3,636.4,0
59,60,Poliwag,Water,1.2990000000000002,0.27790751985053713,0.3063988790284913,0.4156936011209715,1946.9,415.7,1
60,61,Poliwhirl,Water,0.08433333333333333,0.2796610169491525,0.3389830508474576,0.3813559322033898,2136.2,381.4,1
61,62,Poliwrath,Water,0.004,0.3333333333333333,0.16666666666666666,0.5,206.8,500.0,0
62,63,Abra,Psychic,0.4533333333333334,0.31703204047217537,0.25463743676222594,0.4283305227655986,1065.3,428.3,0
63,64,Kadabra,Psychic,0.035666666666666666,0.2916666666666667,0.25,0.4583333333333333,727.8,458.3,0
64,65,Alakazam,Psychic,0.0023333333333333327,0.3333333333333333,0.0,0.6666666666666666,2423.0,666.7,1
65,66,Machop,Fighting,0.188,0.2481203007518797,0.3082706766917293,0.44360902255639095,1989.1,443.6,1
66,67,Machoke,Fighting,0.012666666666666666,0.20833333333333331,0.4583333333333333,0.3333333333333333,1594.2,45.8,1
68,69,Bellsprout,Grass,1.156,0.2573134328358209,0.3092537313432836,0.4334328358208955,1291.4,433.4,0
69,70,Weepinbell,Grass,0.068,0.3173076923076923,0.3365384615384616,0.3461538461538461,1471.7,346.2,0
70,71,Victreebel,Grass,0.006333333333333333,0.21052631578947367,0.10526315789473684,0.6842105263157895,1364.5,684.2,0
71,72,Tentacool,Water,0.3843333333333333,0.27992957746478875,0.3204225352112676,0.3996478873239437,1653.1,399.6,1
72,73,Tentacruel,Water,0.045,0.30666666666666664,0.38666666666666666,0.30666666666666664,1740.6,38.7,1
73,74,Geodude,Rock,0.8233333333333334,0.3043478260869565,0.2258454106280193,0.4698067632850241,1336.7,469.8,0
74,75,Graveler,Rock,0.052666666666666674,0.3636363636363637,0.2363636363636364,0.4,1507.6,400.0,0
75,76,Golem,Rock,0.006666666666666667,0.25,0.25,0.5,794.5,500.0,0
76,77,Ponyta,Fire,0.4033333333333333,0.3053613053613053,0.2400932400932401,0.4545454545454545,1182.6,454.5,0
77,78,Rapidash,Fire,0.013666666666666669,0.3888888888888889,0.1111111111111111,0.5,1138.7,500.0,0
78,79,Slowpoke,Water,0.608,0.296794208893485,0.3185108583247156,0.3846949327817994,1861.5,384.7,1
79,80,Slowbro,Water,0.019666666666666662,0.28125,0.46875,0.25,1895.4,46.9,1
80,81,Magnemite,Electric,0.3633333333333333,0.3070739549839228,0.3327974276527331,0.3601286173633441,1398.6,360.1,0
81,82,Magneton,Electric,0.013333333333333334,0.2962962962962963,0.3333333333333333,0.3703703703703704,1887.8,370.4,1
82,83,Farfetch'd,Normal,0.0003333333333333333,0.0,0.0,1.0,734.8,1000.0,0
83,84,Doduo,Normal,0.18366666666666664,0.29957805907173,0.27848101265822783,0.4219409282700422,1717.1,421.9,1
84,85,Dodrio,Normal,0.10066666666666664,0.13793103448275862,0.30344827586206896,0.5586206896551724,3025.0,558.6,1
85,86,Seel,Water,0.23066666666666666,0.29016786570743397,0.30935251798561153,0.4004796163069544,1607.7,400.5,1
86,87,Dewgong,Water,0.009333333333333329,0.4705882352941176,0.17647058823529413,0.35294117647058826,809.9,4.7,0
87,88,Grimer,Poison,0.046,0.3661971830985916,0.2676056338028169,0.3661971830985916,1792.6,3.7,1
88,89,Muk,Poison,0.0016666666666666668,0.2,0.4,0.4,1357.1,40.0,0
89,90,Shellder,Water,0.44799999999999995,0.2389033942558747,0.3159268929503917,0.4451697127937337,1405.8,445.2,0
90,91,Cloyster,Water,0.009666666666666669,0.2352941176470588,0.1176470588235294,0.6470588235294118,1486.3,647.1,0
91,92,Gastly,Ghost,0.8063333333333333,0.2694610778443114,0.3375748502994012,0.3929640718562874,1643.7,393.0,1
